item_id	item_type	hunger_restore	thirst_restore	health_effect	morale_effect	rad_cleanse	contamination	durability	rad_protection	audio_cue	medical_class
water_purification_tablets	Medical	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	action_injection	chelation_anti_rad
water_purification_tablets_40_of_40	Medical	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	action_injection	chelation_anti_rad
wool_blanket	Protective	0.0	0.0	0.0	1.0	0.0	0.0	50.0	0.0	action_item_pickup	none
family_photo_pendant	Trade	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	action_item_pickup	none
signal_source_report	Quest	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	action_item_pickup	none
water_sample_contaminated	Tool	0.0	0.0	0.0	0.0	0.0	5.0	60.0	20.0	action_item_pickup	none
radio_transcript_142_5	Quest	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	action_item_pickup	none
rad_away	AntiRad	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	action_injection	chelation_anti_rad
inhaler	Medical	0.0	0.0	15.0	5.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
herbal_tea	Medical	0.0	10.0	5.0	3.0	0.0	0.0	0.0	0.0	action_water_pour	therapeutic
item_taper_kit_opioid	Medical	0.0	0.0	5.0	8.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_stabilization_tea	Medical	0.0	12.0	3.0	6.0	0.0	0.0	0.0	0.0	action_water_pour	therapeutic
item_thiamine_dose	Medical	0.0	0.0	12.0	4.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_substitution_dose	Medical	0.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
blood_sample	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
silver_scalpel	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
field_dressing_kit	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
crop_hardy_tuber	Food	14.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	action_water_pour	none
crop_ash_grain	Food	20.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
crop_biolum_mushroom	Food	5.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
crop_nutrient_algae	Food	15.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
crop_medicinal_herb	Medical	2.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
crop_leafy_green	Food	8.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
crop_cold_legume	Food	16.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_honey_pot	Food	18.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_raw_propolis	Medical	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_medical_saline_salt	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_pickled_tubers	Food	14.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	action_water_pour	none
item_dried_mushrooms	Food	8.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_smoked_meat	Food	24.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_canned_grain_stew	Food	28.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	action_water_pour	none
item_salted_meat	Food	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_fat_confit	Food	26.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_fermented_sauerkraut	Food	12.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_honey_preserved_pulp	Food	16.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_dried_herb_packets	Medical	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_brined_legume_mash	Food	22.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_water_filter_advanced	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_surgical_kit	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_reagent_clean	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_document_family_photograph	Quest	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_document_last_letter	Quest	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_document_journal_fragment	Quest	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_document_child_drawing	Quest	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
painkillers	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
harvested_mushrooms_subterranean	Food	6.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	action_item_pickup	none
sedative_draught	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
gene_therapy_retroviral_vial	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_medical_precursor_base	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_sterile_solvent_pack	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_chem_hyper_stim	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_chem_dulcimer_tincture	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_chem_clarity_salts	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_chem_haze_resin	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_flatbread	Food	22.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_boiled_roots	Food	14.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	action_water_pour	none
item_vegetable_soup	Food	26.0	6.0	0.0	4.0	0.0	0.0	0.0	0.0	action_water_pour	none
item_pemmican	Food	30.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_travel_ration	Food	45.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_grain_flour	Food	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_oxygen_supply	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_liquid_bleach_carboy	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
cassette_greenhouse_tapes_1	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_greenhouse_tapes_2	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_greenhouse_tapes_3	Comfort	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_field_hospital_7_1	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_field_hospital_7_2	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_field_hospital_7_3	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_field_hospital_7_4	Comfort	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_field_hospital_7_5	Comfort	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_evacuation_train_1	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_evacuation_train_2	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_evacuation_train_3	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_evacuation_train_4	Comfort	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_station_14_1	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_station_14_2	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_station_14_3	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_station_14_4	Comfort	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_station_14_5	Comfort	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_station_14_6	Comfort	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_fathers_tapes_1	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_fathers_tapes_2	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_fathers_tapes_3	Comfort	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_fathers_tapes_4	Comfort	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_dam_keeper_log_1	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_dam_keeper_log_2	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_dam_keeper_log_3	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_dam_keeper_log_4	Comfort	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_dam_keeper_log_5	Comfort	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_teachers_recordings_1	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_teachers_recordings_2	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_teachers_recordings_3	Comfort	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_quarantine_tapes_1	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_quarantine_tapes_2	Comfort	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_quarantine_tapes_3	Comfort	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cassette_quarantine_tapes_4	Comfort	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
protective_rubber_gloves	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
sterilised_bandage	Medical	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_pharmacist_ledger	Quest	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_worn_pet_collar	Trade	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_undertakers_register	Quest	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_grandfathers_soldering_iron	Tool	0.0	0.0	0.0	3.0	0.0	0.0	80.0	0.0	action_item_pickup	none
