Seed,Day,Difficulty,Ammo_Casings,Ammo_Lead,Ammo_Powder,Ammo_Crafted,Ammo_Fired,Ammo_Stock,Tooling_Lathe,Tooling_Press,Tooling_Bench,Radio_Decrypted,Radio_Triangulated,Social_PrivacyFatigue_Avg,Social_Disputes,Excavation_MethanePPM,Excavation_ShoringPermille,Excavation_CaveIns
42,94,Abundant,695,411,198,20,8,68,1.000,0.910,1.000,0,0,666,98,0,964,0
42,95,Abundant,701,413,200,0,5,63,1.000,0.910,1.000,0,0,666,99,0,929,0
42,96,Abundant,706,417,202,0,6,57,1.000,0.910,1.000,0,0,666,100,0,894,0
42,97,Abundant,713,419,204,0,7,50,1.000,0.910,1.000,0,0,666,102,0,853,0
42,98,Abundant,718,422,204,20,4,66,1.000,0.907,1.000,0,0,666,102,0,819,0
42,99,Abundant,724,427,206,0,7,59,1.000,0.907,1.000,0,0,666,104,0,777,0
42,100,Abundant,733,429,207,0,8,51,1.000,0.907,1.000,0,0,666,104,0,742,0
42,1,Standard Survival,48,60,30,20,8,42,1.000,0.995,1.000,0,0,80,2,222,960,0
42,2,Standard Survival,53,60,31,20,5,57,1.000,0.990,1.000,0,0,160,3,123,918,0
42,3,Standard Survival,59,63,33,0,6,51,1.000,0.990,1.000,0,0,240,4,29,889,0
42,4,Standard Survival,65,63,34,20,8,63,1.000,0.985,1.000,0,0,320,4,0,864,0
42,5,Standard Survival,70,68,36,0,5,58,1.000,0.985,1.000,0,0,400,6,0,822,0
42,6,Standard Survival,76,73,37,0,6,52,1.000,0.985,1.000,0,0,480,7,0,783,0
42,7,Standard Survival,80,73,37,20,5,67,1.000,0.980,1.000,0,0,560,8,0,748,0
42,8,Standard Survival,88,76,39,0,7,60,1.000,0.980,1.000,0,0,640,9,0,711,0
42,9,Standard Survival,93,79,41,0,6,54,1.000,0.980,1.000,0,0,666,10,0,676,0
42,10,Standard Survival,99,79,42,20,8,66,1.000,0.975,1.000,0,0,666,11,0,656,0
42,11,Standard Survival,104,83,43,0,4,62,1.000,0.975,1.000,0,0,666,13,0,628,0
42,12,Standard Survival,109,87,44,0,6,56,1.000,0.975,1.000,0,0,666,13,0,983,0
42,13,Standard Survival,115,87,44,20,7,69,1.000,0.970,1.000,0,0,666,14,0,952,0
42,14,Standard Survival,123,90,46,0,9,60,1.000,0.970,1.000,0,0,666,15,0,932,0
42,15,Standard Survival,130,93,48,0,5,55,1.000,0.970,1.000,0,0,666,17,0,904,0
42,16,Standard Survival,138,93,48,20,9,66,1.000,0.965,1.000,0,0,666,17,0,857,0
42,17,Standard Survival,146,97,50,0,7,59,1.000,0.965,1.000,0,0,666,18,0,832,0
42,18,Standard Survival,150,100,52,0,4,55,1.000,0.965,1.000,0,0,666,19,0,810,0
42,19,Standard Survival,154,104,53,0,4,51,1.000,0.965,1.000,0,0,666,21,0,781,0
42,20,Standard Survival,160,105,54,20,9,62,1.000,0.960,1.000,0,0,666,21,0,756,0
42,21,Standard Survival,168,107,56,0,7,55,1.000,0.960,1.000,0,0,666,22,0,718,0
42,22,Standard Survival,175,107,56,20,9,66,1.000,0.955,1.000,0,0,666,23,0,676,0
42,23,Standard Survival,183,112,57,0,7,59,1.000,0.955,1.000,0,0,666,25,0,640,0
42,24,Standard Survival,189,116,58,0,6,53,1.000,0.955,1.000,0,0,666,25,0,607,0
42,25,Standard Survival,193,119,58,20,4,69,1.000,0.950,1.000,0,0,666,26,0,982,0
42,26,Standard Survival,199,121,59,0,7,62,1.000,0.950,1.000,0,0,666,27,0,941,0
42,27,Standard Survival,205,123,61,0,6,56,1.000,0.950,1.000,0,0,666,29,0,911,0
42,28,Standard Survival,211,127,63,0,6,50,1.000,0.950,1.000,0,0,666,29,0,878,0
42,29,Standard Survival,216,130,63,20,5,65,1.000,0.945,1.000,0,0,666,31,0,838,0
42,30,Standard Survival,223,135,65,0,9,56,1.000,0.945,1.000,0,0,666,31,0,813,0
42,31,Standard Survival,229,140,67,0,4,52,1.000,0.945,1.000,0,0,666,33,0,772,0
42,32,Standard Survival,236,140,68,20,8,64,1.000,0.940,1.000,0,0,666,34,0,726,0
42,33,Standard Survival,243,144,70,0,7,57,1.000,0.940,1.000,0,0,666,35,0,678,0
42,34,Standard Survival,248,149,71,0,5,52,1.000,0.940,1.000,0,0,666,35,0,657,0
42,35,Standard Survival,254,150,72,20,8,64,1.000,0.935,1.000,0,0,666,37,0,635,0
42,36,Standard Survival,262,155,73,0,9,55,1.000,0.935,1.000,0,0,666,38,0,615,0
42,37,Standard Survival,269,157,73,20,9,66,1.000,0.930,1.000,0,0,666,39,0,979,0
42,38,Standard Survival,275,162,75,0,7,59,1.000,0.930,1.000,0,0,666,40,0,946,0
42,39,Standard Survival,280,167,76,0,5,54,1.000,0.930,1.000,0,0,666,41,0,908,0
42,40,Standard Survival,288,170,76,20,8,66,1.000,0.925,1.000,0,0,666,42,0,863,0
42,41,Standard Survival,295,173,77,0,7,59,1.000,0.925,1.000,0,0,666,44,0,815,0
42,42,Standard Survival,302,177,78,0,9,50,1.000,0.925,1.000,0,0,666,44,0,778,0
42,43,Standard Survival,308,177,79,20,7,63,1.000,0.920,1.000,0,0,666,45,0,755,0
42,44,Standard Survival,314,182,80,0,7,56,1.000,0.920,1.000,0,0,666,46,0,727,0
42,45,Standard Survival,322,183,81,20,8,68,1.000,0.915,1.000,0,0,666,48,0,680,0
42,46,Standard Survival,330,187,83,0,8,60,1.000,0.915,1.000,0,0,666,48,0,637,0
42,47,Standard Survival,336,190,85,0,7,53,1.000,0.915,1.000,0,0,666,49,0,601,0
42,48,Standard Survival,342,191,86,20,6,67,1.000,0.910,1.000,0,0,666,50,0,976,0
42,49,Standard Survival,348,193,88,0,6,61,1.000,0.910,1.000,0,0,666,52,0,944,0
42,50,Standard Survival,355,196,90,0,8,53,1.000,0.910,1.000,0,0,666,52,0,921,0
42,51,Standard Survival,362,199,91,20,9,64,1.000,0.905,1.000,0,0,666,54,0,901,0
42,52,Standard Survival,367,203,93,0,4,60,1.000,0.905,1.000,0,0,666,54,0,862,0
42,53,Standard Survival,373,207,95,0,4,56,1.000,0.905,1.000,0,0,666,56,0,836,0
42,54,Standard Survival,380,207,95,20,9,67,1.000,0.900,1.000,0,0,666,57,0,810,0
42,55,Standard Survival,387,212,96,0,5,62,1.000,0.900,1.000,0,0,666,58,0,789,0
42,56,Standard Survival,395,214,97,0,8,54,1.000,0.900,1.000,0,0,666,58,0,749,0
42,57,Standard Survival,400,216,98,20,6,68,1.000,0.895,1.000,0,0,666,60,0,715,0
42,58,Standard Survival,406,221,100,0,4,64,1.000,0.895,1.000,0,0,666,61,0,666,0
42,59,Standard Survival,415,226,102,0,8,56,1.000,0.895,1.000,0,0,666,62,0,620,0
42,60,Standard Survival,422,229,104,0,6,50,1.000,0.895,1.000,0,0,666,63,0,977,0
42,61,Standard Survival,429,232,105,20,9,61,1.000,0.890,1.000,0,0,666,64,0,936,0
42,62,Standard Survival,437,234,107,0,9,52,1.000,0.890,1.000,0,0,666,65,0,910,0
42,63,Standard Survival,443,236,108,20,8,64,1.000,0.885,1.000,0,0,666,67,0,882,0
42,64,Standard Survival,450,238,109,0,8,56,1.000,0.885,1.000,0,0,666,67,0,855,0
42,65,Standard Survival,455,243,110,0,5,51,1.000,0.885,1.000,0,0,666,68,0,808,0
42,66,Standard Survival,461,246,111,20,6,65,1.000,0.880,1.000,0,0,666,69,0,772,0
42,67,Standard Survival,470,251,112,0,8,57,1.000,0.880,1.000,0,0,666,71,0,732,0
42,68,Standard Survival,477,254,114,0,6,51,1.000,0.880,1.000,0,0,666,71,0,704,0
42,69,Standard Survival,482,255,115,20,4,67,1.000,0.875,1.000,0,0,666,72,0,664,0
42,70,Standard Survival,486,258,117,0,4,63,1.000,0.875,1.000,0,0,666,73,0,620,0
42,71,Standard Survival,492,263,118,0,5,58,1.000,0.875,1.000,0,0,666,75,0,971,0
42,72,Standard Survival,497,266,120,0,6,52,1.000,0.875,1.000,0,0,666,75,0,933,0
42,73,Standard Survival,502,268,120,20,4,68,1.000,0.870,1.000,0,0,666,77,0,911,0
42,74,Standard Survival,510,270,122,0,8,60,1.000,0.870,1.000,0,0,666,77,0,877,0
42,75,Standard Survival,516,274,123,0,5,55,1.000,0.870,1.000,0,0,666,79,0,849,0
42,76,Standard Survival,521,276,123,20,6,69,1.000,0.865,1.000,0,0,666,80,0,821,0
42,77,Standard Survival,526,278,124,0,6,63,1.000,0.865,1.000,0,0,666,81,0,800,0
42,78,Standard Survival,532,280,125,0,4,59,1.000,0.865,1.000,0,0,666,81,0,756,0
42,79,Standard Survival,540,284,127,0,9,50,1.000,0.865,1.000,0,0,666,83,0,733,0
42,80,Standard Survival,546,284,127,20,5,65,1.000,0.860,1.000,0,0,666,84,0,690,0
42,81,Standard Survival,551,286,128,0,6,59,1.000,0.860,1.000,0,0,666,85,0,650,0
42,82,Standard Survival,556,290,130,0,6,53,1.000,0.860,1.000,0,0,666,85,0,621,0
42,83,Standard Survival,563,290,131,20,9,64,1.000,0.855,1.000,0,0,666,87,0,974,0
42,84,Standard Survival,570,293,133,0,5,59,1.000,0.855,1.000,0,0,666,88,0,948,0
42,85,Standard Survival,577,295,134,0,8,51,1.000,0.855,1.000,0,0,666,89,0,911,0
42,86,Standard Survival,583,295,135,20,6,65,1.000,0.850,1.000,0,0,666,89,0,870,0
42,87,Standard Survival,588,297,137,0,6,59,1.000,0.850,1.000,0,0,666,91,0,850,0
42,88,Standard Survival,593,299,139,0,5,54,1.000,0.850,1.000,0,0,666,92,0,807,0
42,89,Standard Survival,599,302,141,0,4,50,1.000,0.850,1.000,0,0,666,93,0,765,0
42,90,Standard Survival,605,303,142,20,7,63,1.000,0.845,1.000,0,0,666,94,0,739,0
42,91,Standard Survival,614,305,143,0,8,55,1.000,0.845,1.000,0,0,666,95,0,703,0
42,92,Standard Survival,618,310,145,0,4,51,1.000,0.845,1.000,0,0,666,96,0,654,0
42,93,Standard Survival,624,312,145,20,5,66,1.000,0.840,1.000,0,0,666,98,0,605,0
42,94,Standard Survival,633,317,146,0,8,58,1.000,0.840,1.000,0,0,666,98,0,964,0
42,95,Standard Survival,639,319,148,0,5,53,1.000,0.840,1.000,0,0,666,99,0,929,0
42,96,Standard Survival,643,321,149,20,6,67,1.000,0.835,1.000,0,0,666,100,0,894,0
42,97,Standard Survival,650,323,151,0,7,60,1.000,0.835,1.000,0,0,666,102,0,853,0
42,98,Standard Survival,656,328,152,0,4,56,1.000,0.835,1.000,0,0,666,102,0,819,0
42,99,Standard Survival,661,331,153,20,7,69,1.000,0.830,1.000,0,0,666,104,0,777,0
42,100,Standard Survival,670,333,154,0,8,61,1.000,0.830,1.000,0,0,666,104,0,742,0
42,1,Hardcore Desolation,23,25,12,20,8,22,1.000,0.988,1.000,0,0,80,2,422,960,0
42,2,Hardcore Desolation,28,25,13,20,5,37,1.000,0.976,1.000,0,0,160,3,523,918,0
42,3,Hardcore Desolation,33,26,14,20,6,51,1.000,0.964,1.000,0,0,240,4,629,889,0
42,4,Hardcore Desolation,39,26,15,20,8,63,1.000,0.952,1.000,0,0,320,4,752,864,0
42,5,Hardcore Desolation,44,31,17,0,5,58,1.000,0.952,1.000,0,0,400,6,817,822,0
42,6,Hardcore Desolation,50,36,18,0,6,52,1.000,0.952,1.000,0,0,480,7,954,783,0
42,7,Hardcore Desolation,54,36,18,20,5,67,1.000,0.940,1.000,0,0,560,8,1027,748,0
42,8,Hardcore Desolation,62,39,20,0,7,60,1.000,0.940,1.000,0,0,640,9,1093,711,0
42,9,Hardcore Desolation,67,42,22,0,6,54,1.000,0.940,1.000,0,0,666,10,1177,676,0
42,10,Hardcore Desolation,73,42,23,20,8,66,1.000,0.928,1.000,0,0,666,11,1302,656,0
42,11,Hardcore Desolation,78,46,24,0,4,62,1.000,0.928,1.000,0,0,666,13,1359,628,0
42,12,Hardcore Desolation,83,50,25,0,6,56,1.000,0.928,1.000,0,0,666,13,1445,983,0
42,13,Hardcore Desolation,89,50,25,20,7,69,1.000,0.916,1.000,0,0,666,14,1536,952,0
42,14,Hardcore Desolation,97,53,27,0,9,60,1.000,0.916,1.000,0,0,666,15,1624,932,0
42,15,Hardcore Desolation,104,56,29,0,5,55,1.000,0.916,1.000,0,0,666,17,1747,904,0
42,16,Hardcore Desolation,112,56,29,20,9,66,1.000,0.904,1.000,0,0,666,17,1881,857,0
42,17,Hardcore Desolation,120,60,31,0,7,59,1.000,0.904,1.000,0,0,666,18,1995,832,0
42,18,Hardcore Desolation,124,63,33,0,4,55,1.000,0.904,1.000,0,0,666,19,2082,810,0
42,19,Hardcore Desolation,128,67,34,0,4,51,1.000,0.904,1.000,0,0,666,21,2179,781,0
42,20,Hardcore Desolation,134,68,35,20,9,62,1.000,0.892,1.000,0,0,666,21,2301,756,0
42,21,Hardcore Desolation,142,70,37,0,7,55,1.000,0.892,1.000,0,0,666,22,2440,718,0
42,22,Hardcore Desolation,149,70,37,20,9,66,1.000,0.880,1.000,0,0,666,23,2519,676,0
42,23,Hardcore Desolation,157,75,38,0,7,59,1.000,0.880,1.000,0,0,666,25,2574,640,0
42,24,Hardcore Desolation,163,79,39,0,6,53,1.000,0.880,1.000,0,0,666,25,2631,607,0
42,25,Hardcore Desolation,167,82,39,20,4,69,1.000,0.868,1.000,0,0,666,26,2752,982,0
42,26,Hardcore Desolation,173,84,40,0,7,62,1.000,0.868,1.000,0,0,666,27,2824,941,0
42,27,Hardcore Desolation,179,86,42,0,6,56,1.000,0.868,1.000,0,0,666,29,2949,911,0
42,28,Hardcore Desolation,185,90,44,0,6,50,1.000,0.868,1.000,0,0,666,29,3048,878,0
42,29,Hardcore Desolation,190,93,44,20,5,65,1.000,0.856,1.000,0,0,666,31,3129,838,0
42,30,Hardcore Desolation,197,98,46,0,9,56,1.000,0.856,1.000,0,0,666,31,3213,813,0
42,31,Hardcore Desolation,203,103,48,0,4,52,1.000,0.856,1.000,0,0,666,33,3355,772,0
42,32,Hardcore Desolation,210,103,49,20,8,64,1.000,0.844,1.000,0,0,666,34,3450,726,0
42,33,Hardcore Desolation,217,107,51,0,7,57,1.000,0.844,1.000,0,0,666,35,3589,678,0
42,34,Hardcore Desolation,222,112,52,0,5,52,1.000,0.844,1.000,0,0,666,35,3641,657,0
42,35,Hardcore Desolation,228,113,53,20,8,64,1.000,0.832,1.000,0,0,666,37,3703,635,0
42,36,Hardcore Desolation,236,118,54,0,9,55,1.000,0.832,1.000,0,0,666,38,3762,615,0
42,37,Hardcore Desolation,243,120,54,20,9,66,1.000,0.820,1.000,0,0,666,39,3891,979,0
42,38,Hardcore Desolation,249,125,56,0,7,59,1.000,0.820,1.000,0,0,666,40,3952,946,0
42,39,Hardcore Desolation,254,130,57,0,5,54,1.000,0.820,1.000,0,0,666,41,4099,908,0
42,40,Hardcore Desolation,262,133,57,20,8,66,1.000,0.808,1.000,0,0,666,42,4227,863,0
42,41,Hardcore Desolation,269,136,58,0,7,59,1.000,0.808,1.000,0,0,666,44,4308,815,0
42,42,Hardcore Desolation,276,140,59,0,9,50,1.000,0.808,1.000,0,0,666,44,4389,778,0
42,43,Hardcore Desolation,282,140,60,20,7,63,1.000,0.796,1.000,0,0,666,45,4443,755,0
42,44,Hardcore Desolation,288,145,61,0,7,56,1.000,0.796,1.000,0,0,666,46,4510,727,0
42,45,Hardcore Desolation,296,146,62,20,8,68,1.000,0.784,1.000,0,0,666,48,4627,680,0
42,46,Hardcore Desolation,304,150,64,0,8,60,1.000,0.784,1.000,0,0,666,48,4754,637,0
42,47,Hardcore Desolation,310,153,66,0,7,53,1.000,0.784,1.000,0,0,666,49,4902,601,0
42,48,Hardcore Desolation,316,154,67,20,6,67,1.000,0.772,1.000,0,0,666,50,4978,976,0
42,49,Hardcore Desolation,322,156,69,0,6,61,1.000,0.772,1.000,0,0,666,52,5044,944,0
42,50,Hardcore Desolation,329,159,71,0,8,53,1.000,0.772,1.000,0,0,666,52,5178,921,0
42,51,Hardcore Desolation,336,162,72,20,9,64,1.000,0.760,1.000,0,0,666,54,5281,901,0
42,52,Hardcore Desolation,341,166,74,0,4,60,1.000,0.760,1.000,0,0,666,54,5362,862,0
42,53,Hardcore Desolation,347,170,76,0,4,56,1.000,0.760,1.000,0,0,666,56,5419,836,0
42,54,Hardcore Desolation,354,170,76,20,9,67,1.000,0.748,1.000,0,0,666,57,5562,810,0
42,55,Hardcore Desolation,361,175,77,0,5,62,1.000,0.748,1.000,0,0,666,58,5635,789,0
42,56,Hardcore Desolation,369,177,78,0,8,54,1.000,0.748,1.000,0,0,666,58,5733,749,0
42,57,Hardcore Desolation,374,179,79,20,6,68,1.000,0.736,1.000,0,0,666,60,5871,715,0
42,58,Hardcore Desolation,380,184,81,0,4,64,1.000,0.736,1.000,0,0,666,61,6008,666,0
42,59,Hardcore Desolation,389,189,83,0,8,56,1.000,0.736,1.000,0,0,666,62,6097,620,0
42,60,Hardcore Desolation,396,192,85,0,6,50,1.000,0.736,1.000,0,0,666,63,6230,977,0
42,61,Hardcore Desolation,403,195,86,20,9,61,1.000,0.724,1.000,0,0,666,64,6356,936,0
42,62,Hardcore Desolation,411,197,88,0,9,52,1.000,0.724,1.000,0,0,666,65,6445,910,0
42,63,Hardcore Desolation,417,199,89,20,8,64,1.000,0.712,1.000,0,0,666,67,6525,882,0
42,64,Hardcore Desolation,424,201,90,0,8,56,1.000,0.712,1.000,0,0,666,67,6577,855,0
42,65,Hardcore Desolation,429,206,91,0,5,51,1.000,0.712,1.000,0,0,666,68,6655,808,0
42,66,Hardcore Desolation,435,209,92,20,6,65,1.000,0.700,1.000,0,0,666,69,6733,772,0
42,67,Hardcore Desolation,444,214,93,0,8,57,1.000,0.700,1.000,0,0,666,71,6860,732,0
42,68,Hardcore Desolation,451,217,95,0,6,51,1.000,0.700,1.000,0,0,666,71,6941,704,0
42,69,Hardcore Desolation,456,218,96,20,4,67,1.000,0.688,1.000,0,0,666,72,7053,664,0
42,70,Hardcore Desolation,460,221,98,0,4,63,1.000,0.688,1.000,0,0,666,73,7152,620,0
42,71,Hardcore Desolation,466,226,99,0,5,58,1.000,0.688,1.000,0,0,666,75,7219,971,0
42,72,Hardcore Desolation,471,229,101,0,6,52,1.000,0.688,1.000,0,0,666,75,7274,933,0
42,73,Hardcore Desolation,476,231,101,20,4,68,1.000,0.676,1.000,0,0,666,77,7366,911,0
42,74,Hardcore Desolation,484,233,103,0,8,60,1.000,0.676,1.000,0,0,666,77,7506,877,0
42,75,Hardcore Desolation,490,237,104,0,5,55,1.000,0.676,1.000,0,0,666,79,7622,849,0
42,76,Hardcore Desolation,495,239,104,20,6,69,1.000,0.664,1.000,0,0,666,80,7751,821,0
