canonical_name,source_path,kind,core_authority,host_entrypoint,runtime_reachable,save_owner,test_surface,classification,risk,evidence_source,status_confidence
CaregivingHostSave,src/Host/CaregivingSaveStore.cs,save store,no (host),direct (host),proven,none,Core tests (1 suites: ExpandedShelterSaveChecksumTests.cs),LIVE_GODOT,LOW,codebase scan,verified
CaregivingHostSession,src/Host/CaregivingHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
CaregivingPanel,src/UI/CaregivingPanel.cs,ui panel,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
CaregivingSaveStore,src/Host/CaregivingSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
CaregivingSystem,Assets/Ashfall.Core/Survivors/CaregivingSystem.cs,gameplay system,yes,direct,proven,CaregivingSaveStore,Core tests (1 suites: CaregivingSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW — reconciled as CORE_INTERNAL / DIRECT_HOSTED,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
CatalogFileSystem,Assets/Ashfall.Core/CatalogFileSystem.cs,catalog,yes,indirect,proven,none,Core tests (1 suites: CatalogFileSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
CatalogIntegrityValidator,Assets/Ashfall.Core/CatalogIntegrityValidator.cs,catalog,yes,indirect,proven,none,Core tests (7 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
CensusClaimSystem,Assets/Ashfall.Core/CensusClaimSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (5 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
CenturySeedPanel,src/UI/CenturySeedPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
CeramicsKilnCatalog,Assets/Ashfall.Core/Narrative/CeramicsKilnCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: CeramicsKilnCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
CharcoalPyrolysisCatalog,Assets/Ashfall.Core/Narrative/CharcoalPyrolysisCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: CharcoalPyrolysisCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
ChemicalDependencyHostSave,src/Host/ChemicalDependencySaveStore.cs,save store,no (host),direct (host),proven,none,Core tests (1 suites: BareSaveStoreSealTests.cs),LIVE_GODOT,LOW,codebase scan,verified
ChemicalDependencyHostSession,src/Host/ChemicalDependencyHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
ChemicalDependencyPanel,src/UI/ChemicalDependencyPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
ChemicalDependencySaveStore,src/Host/ChemicalDependencySaveStore.cs,save store,no (host),direct (host),proven,store (self),Core tests (1 suites: BareSaveStoreSealTests.cs),LIVE_GODOT,LOW,codebase scan,verified
ChemicalDependencySystem,Assets/Ashfall.Core/Medical/ChemicalDependencySystem.cs,gameplay system,yes,direct,proven,ChemicalDependencySaveStore,Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
CoalitionCampSystem,Assets/Ashfall.Core/Muster/CoalitionCampSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (1 suites: CoalitionCampSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
CohortSystem,Assets/Ashfall.Core/CohortSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (3 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
ColdCountSystem,Assets/Ashfall.Core/Muster/ColdCountSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
CombatCatalog,Assets/Ashfall.Core/Combat/CombatCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (6 suites),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
CombatDetailPanel,src/UI/CombatDetailPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
CombatHistoryPanel,src/UI/CombatHistoryPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
CombatHostSave,src/Host/CombatSaveStore.cs,save store,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
CombatHostSession,src/Host/CombatHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
CombatPanel,src/UI/CombatPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
CombatSaveStore,src/Host/CombatSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
CombatSystem,Assets/Ashfall.Core/CombatSystem.cs,gameplay system,yes,direct,proven,CombatSaveStore,Core tests (3 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
CombatTraumaSystem,Assets/Ashfall.Core/Survivors/CombatTraumaSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (1 suites: CombatTraumaSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
ContaminationEntrySave,Assets/Ashfall.Core/Maritime/PsychologicalContaminationSystem.cs,save DTO/codec,yes,core-internal,proven (Core),system (CaptureState),none,CORE_INTERNAL,LOW,codebase scan,verified
ContaminationSurvivorSave,Assets/Ashfall.Core/Maritime/PsychologicalContaminationSystem.cs,save DTO/codec,yes,core-internal,proven (Core),system (CaptureState),none,CORE_INTERNAL,LOW,codebase scan,verified
ContractorRosterHostSave,src/Host/ContractorRosterHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Core tests (1 suites: NewSaveStoreChecksumSweepTests.cs),LIVE_GODOT,LOW,codebase scan,verified
ContractorRosterHostSession,src/Host/ContractorRosterHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
ContractorRosterPanel,src/UI/ContractorRosterPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
ContractorRosterSaveStore,src/Host/ContractorRosterHostSession.cs,host session,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
ContractorRosterSystem,Assets/Ashfall.Core/ContractorRosterSystem.cs,gameplay system,yes,direct,proven,ContractorRosterSaveStore,Core tests (1 suites: ContractorRosterSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
CordageCableCatalog,Assets/Ashfall.Core/Narrative/CordageCableCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: CordageCableCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
CourierDispatchCatalog,Assets/Ashfall.Core/Narrative/CourierDispatchCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: CourierDispatchCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
CraftingDetailPanel,src/UI/CraftingDetailPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
CraftingHistoryPanel,src/UI/CraftingHistoryPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
CraftingHostSave,src/Host/CraftingSaveStore.cs,save store,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
CraftingHostSession,src/Host/CraftingHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
CraftingPanel,src/UI/CraftingPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
CraftingSaveStore,src/Host/CraftingSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
CraftingSystem,Assets/Ashfall.Core/Crafting/CraftingSystem.cs,gameplay system,yes,direct,proven,CraftingSaveStore,Core tests (5 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
CraftingSystemSave,Assets/Ashfall.Core/Crafting/CraftingSystem.cs,save DTO/codec,yes,indirect,proven,system (CaptureState),none,LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
CropCatalog,Assets/Ashfall.Core/Greenhouse/GreenhouseExpansionCatalog.cs,catalog,yes,core-internal,proven (Core),none,CatalogIntegrityValidator (129 catalogs),CORE_INTERNAL,LOW,codebase scan,verified
CrossingArbitrationSystem,Assets/Ashfall.Core/CrossingArbitrationSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (4 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
CrossingCatalog,Assets/Ashfall.Core/CrossingCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: ExpansionsIntegrationTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
CrossingQuestPanel,src/UI/CrossingQuestPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
CrossingQuestSystem,Assets/Ashfall.Core/Crossing/CrossingQuestSystem.cs,gameplay system,yes,direct,proven,system (CaptureState),Core tests (4 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
CrucibleFoundryCatalog,Assets/Ashfall.Core/Narrative/CrucibleFoundryCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: CrucibleFoundryCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
CryoPreservationCatalog,Assets/Ashfall.Core/Narrative/CryoPreservationCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: CryoPreservationCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
CulinaryRationCatalog,Assets/Ashfall.Core/Narrative/CulinaryRationCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: CulinaryRationCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
CurrentsCatalog,Assets/Ashfall.Core/Narrative/CurrentsCatalog.cs,catalog,yes,indirect,proven,none,Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
CurrentsPamphletCatalog,Assets/Ashfall.Core/Narrative/CurrentsPamphletCatalog.cs,catalog,yes,core-internal,proven (Core),none,CatalogIntegrityValidator (129 catalogs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
DailyBriefingSave,Assets/Ashfall.Core/Campaign/DailyBriefingSave.cs,save DTO/codec,yes,indirect,proven,system (CaptureState),Core tests (1 suites: DailyBriefingReportBuilderTests.cs),LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
DailyBriefingSaveStore,src/Host/DailyBriefingSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
DailySurvivalCatalog,Assets/Ashfall.Core/Narrative/DailySurvivalCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: DailySurvivalCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
DeadHandDirectiveCatalog,Assets/Ashfall.Core/Narrative/DeadHandDirectiveCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: DeadHandDirectiveCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
DecontaminationHostSave,src/Host/DecontaminationHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Core tests (1 suites: NewSaveStoreChecksumSweepTests.cs),LIVE_GODOT,LOW,codebase scan,verified
DecontaminationHostSession,src/Host/DecontaminationHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
DecontaminationPanel,src/UI/DecontaminationPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
DecontaminationSaveStore,src/Host/DecontaminationHostSession.cs,host session,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
DecontaminationSystem,Assets/Ashfall.Core/DecontaminationSystem.cs,gameplay system,yes,direct,proven,DecontaminationSaveStore,Core tests (1 suites: DecontaminationSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
DeepCoastHostSession,src/Host/DeepCoastHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
DeepCoastPanel,src/UI/DeepCoastPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
DiseaseCatalog,Assets/Ashfall.Core/Disease/DiseaseCatalog.cs,catalog,yes,indirect,proven,none,Core tests (3 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
DiseaseHostSession,src/Disease/DiseaseHostSession.cs,host session,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
DiseaseSaveStore,src/Host/DiseaseSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
DiseaseSystem,Assets/Ashfall.Core/Disease/DiseaseSystem.cs,gameplay system,yes,direct,proven,DiseaseSaveStore,Core tests (4 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
District8DeepCoastSystem,Assets/Ashfall.Core/District8DeepCoastSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (1 suites: District8DeepCoastTests.cs),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
DiveSiteCatalog,Assets/Ashfall.Core/Narrative/DiveSiteCatalog.cs,catalog,yes,indirect,proven,system (CaptureState),Core tests (1 suites: ExpansionAggregateCompletenessTests.cs),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
DoorEncounterSystem,Assets/Ashfall.Core/YearOfAsh/DoorEncounterSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (4 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
DoseContentCatalog,Assets/Ashfall.Core/DoseContentCatalog.cs,catalog,yes,indirect,proven,none,Core tests (3 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
